Handle,Published
michters-us1-kentucky-straight-bourbon-whiskey-70cl-45-7-abv,FALSE
michters-us1-kentucky-straight-bourbon-whiskey-70cl-45-7-abv-includes-hat,FALSE
the-federalist-cabernet-sauvignon-aged-in-bourbon-barrels-750ml,FALSE
wild-turkey-101-kentucky-straight-bourbon-whiskey-70cl-20cl-50-5-abv-old-fashioned-cocktail-bundle,FALSE
wild-turkey-101-kentucky-straight-bourbon-whiskey-70cl-50-5-abv,FALSE
wild-turkey-101-kentucky-straight-bourbon-whiskey-70cl-x-3-50-5-abv-boulevardier-cocktail-bundle,FALSE
