Handle,Title,Type,Tags,Vendor,Published,Variant Price,Image Src,Variant SKU
elijah-craig-straight-bourbon-small-batch-w-ec-jigger-gentx27s-old-fashioned-cockail-syrup-750-ml,Elijah Craig Straight Bourbon Small Batch  W/ Ec Jigger & Gent&#x27;s Old Fashioned Cockail Syrup-750 ML,Bourbon,"bourbon, whiskey, small-batch, straight-bourbon",Elijah Craig,TRUE,76.49,https://www.liquorstore-online.com/product_images/p_249822.webp,shopify_US_7888821289147_44802706473147
elijah-craig-straight-bourbon-small-batch-whiskey-750-ml,Elijah Craig Straight Bourbon Small Batch Whiskey-750 ML,Bourbon,"bourbon, whiskey, small-batch, straight-bourbon",Elijah Craig,TRUE,82.49,https://www.liquorstore-online.com/product_images/p_249516.webp,shopify_US_7794661294267_44417892614331
elijah-craig-straight-bourbon-toasted-barrel-whiskey-750-ml,Elijah Craig Straight Bourbon Toasted Barrel Whiskey-750 ML,Bourbon,"bourbon, whiskey, straight-bourbon",Elijah Craig,TRUE,133.99,https://www.liquorstore-online.com/product_images/p_249541.webp,shopify_US_7855784460475_44672433258683
elijah-craig-toasted-barrel-bourbon-750ml,Elijah Craig Toasted Barrel Bourbon 750ml,Bourbon,"bourbon, whiskey",Elijah Craig,TRUE,107.96,https://www.liquorstore-online.com/product_images/p_188823.webp,5f0341cd4b2ef011dcbda2af
elmer-t-lee-single-barrel-sour-mash-kentucky-straight-bourbon-whiskey-750-ml,Elmer T. Lee Single Barrel Sour Mash Kentucky Straight Bourbon Whiskey-750 ML,Bourbon,"bourbon, whiskey, single-barrel, straight-bourbon",Elmer T Lee,TRUE,437.99,https://www.liquorstore-online.com/product_images/p_249397.webp,shopify_US_7689468838075_43620975444155
evan-williams-4-year-old-bottled-in-bond-100-proof-kentucky-straight-bourbon-whiskey-70cl-50-abv,Evan Williams - 4 year old Bottled In Bond 100 Proof Kentucky Straight Bourbon Whiskey 70cl 50% ABV,Bourbon,"bourbon, whiskey, straight-bourbon",Evan Williams,TRUE,174.99,https://www.liquorstore-online.com/product_images/p_139740.webp,10319
evan-williams-7-year-old-single-barrel-vintage-kentucky-straight-bourbon-2014-whiskey-70cl-43.3-abv,Evan Williams - 7 year old Single Barrel Vintage Kentucky Straight Bourbon 2014 Whiskey 70cl 43.3% ABV,Bourbon,"bourbon, whiskey, single-barrel, straight-bourbon",Evan Williams,TRUE,214.99,https://www.liquorstore-online.com/product_images/p_187538.jpg,17404
evan-williams-7-year-old-single-barrel-vintage-kentucky-straight-bourbon-2015-whiskey-70cl-43.3-abv0,Evan Williams - 7 year old Single Barrel Vintage Kentucky Straight Bourbon 2015 Whiskey 70cl 43.3% ABV0,Bourbon,"bourbon, whiskey, single-barrel, straight-bourbon",Evan Williams,TRUE,188.99,https://www.liquorstore-online.com/product_images/p_252320.webp,24475
evan-williams-apple-bourbon-whiskey-liqueur-70cl-32.5-abv,Evan Williams - Apple Bourbon Whiskey Liqueur 70cl 32.5% ABV,Bourbon,"bourbon, whiskey",Evan Williams,TRUE,126.99,https://www.liquorstore-online.com/product_images/p_248268.webp,23241
evan-williams-black-label-extra-aged-kentucky-straight-bourbon-whiskey-70cl-43-abv,Evan Williams - Black Label Extra Aged Kentucky Straight Bourbon Whiskey 70cl 43% ABV,Bourbon,"bourbon, whiskey, straight-bourbon",Evan Williams,TRUE,130.99,https://www.liquorstore-online.com/product_images/p_135673.webp,3483
evan-williams-honey-bourbon-whiskey-liqueur-70cl-32.5-abv,Evan Williams - Honey Bourbon Whiskey Liqueur 70cl 32.5% ABV,Bourbon,"bourbon, whiskey",Evan Williams,TRUE,126.99,https://www.liquorstore-online.com/product_images/p_248267.webp,23240
evan-williams-1783-bourbon-1.75l,Evan Williams 1783 Bourbon 1.75L,Bourbon,"bourbon, whiskey",Evan Williams,TRUE,92.49,https://www.liquorstore-online.com/product_images/p_181784.webp,596723ce12f2fb071587e85c
evan-williams-1783-bourbon-750ml,Evan Williams 1783 Bourbon 750ml,Bourbon,"bourbon, whiskey",Evan Williams,TRUE,72.49,https://www.liquorstore-online.com/product_images/p_177099.webp,5f6ba7fa0b2eb848ff86fd60
evan-williams-black-bourbon-1.75l,Evan Williams Black Bourbon 1.75L,Bourbon,"bourbon, whiskey",Evan Williams,TRUE,81.49,https://www.liquorstore-online.com/product_images/p_182378.webp,56c3373a69702d27edb20400
evan-williams-black-bourbon-1l,Evan Williams Black Bourbon 1L,Bourbon,"bourbon, whiskey",Evan Williams,TRUE,69.48,https://www.liquorstore-online.com/product_images/p_188167.webp,56c3373a69702d27edb30400
evan-williams-black-bourbon-750ml,Evan Williams Black Bourbon 750ml,Bourbon,"bourbon, whiskey",Evan Williams,TRUE,68.48,https://www.liquorstore-online.com/product_images/p_188310.webp,56c3373a69702d27edb40400
evan-williams-straight-bourbon-single-barrel-whiskey-750-ml,Evan Williams Straight Bourbon Single Barrel Whiskey-750 ML,Bourbon,"bourbon, whiskey, single-barrel, straight-bourbon",Evan Williams,TRUE,113.99,https://www.liquorstore-online.com/product_images/p_249398.webp,shopify_US_7689487843515_43621008015547
ezra-brooks-bourbon-cream-liqueur-70cl-12.5-abv,Ezra Brooks - Bourbon Cream Liqueur 70cl 12.5% ABV,Bourbon,"bourbon, whiskey",Ezra Brooks,TRUE,123.99,https://www.liquorstore-online.com/product_images/p_229882.webp,22207
ezra-brooks-straight-bourbon-black-label-80-proof-whiskey-70cl-40-abv,Ezra Brooks - Straight Bourbon Black Label 80 Proof Whiskey 70cl 40% ABV,Bourbon,"bourbon, whiskey, straight-bourbon",Ezra Brooks,TRUE,131.99,https://www.liquorstore-online.com/product_images/p_166725.webp,13824
ezra-brooks-7yr-old-ezra-bourbon-750ml,Ezra Brooks 7yr Old Ezra Bourbon 750ml,Bourbon,"bourbon, whiskey",Ezra Brooks,TRUE,118.99,https://www.liquorstore-online.com/product_images/p_202220.webp,5babb0b88f58761d695724eb
ezra-brooks-bourbon-99-proof-1.75l,Ezra Brooks Bourbon 99 Proof 1.75L,Bourbon,"bourbon, whiskey",Ezra Brooks,TRUE,89.49,https://www.liquorstore-online.com/product_images/p_220232.png,62c04e5ad1eadb3958257d8c
ezra-brooks-bourbon-99-proof-750ml,Ezra Brooks Bourbon 99 Proof 750ml,Bourbon,"bourbon, whiskey",Ezra Brooks,TRUE,67.49,https://www.liquorstore-online.com/product_images/p_188761.webp,5ff5f616ba521b796ee79993
ezra-brooks-cask-strength-single-barrel-bourbon-whiskey-750-ml,Ezra Brooks Cask Strength Single Barrel Bourbon Whiskey-750 ML,Bourbon,"bourbon, whiskey, single-barrel",Ezra Brooks,TRUE,96.49,https://www.liquorstore-online.com/product_images/p_250143.webp,shopify_US_7961226379451_46237912006843
ezra-brooks-full-proof-barrel-bourbon-whiskey-750-ml,Ezra Brooks Full Proof Barrel Bourbon Whiskey-750 ML,Bourbon,"bourbon, whiskey",Ezra Brooks,TRUE,96.49,https://www.liquorstore-online.com/product_images/p_250218.webp,shopify_US_7986776211643_46318762950843
ezra-brooks-kentucky-straight-bourbon-whiskey-750-ml,Ezra Brooks Kentucky Straight Bourbon Whiskey-750 ML,Bourbon,"bourbon, whiskey, straight-bourbon",Ezra Brooks,TRUE,76.49,https://www.liquorstore-online.com/product_images/p_249788.webp,shopify_US_7887824388283_44798894375099
ezra-brooks-special-cask-finish-series-bourbon-whiskey-750-ml,Ezra Brooks Special Cask Finish Series Bourbon Whiskey-750 ML,Bourbon,"bourbon, whiskey",Ezra Brooks,TRUE,81.49,https://www.liquorstore-online.com/product_images/p_250215.webp,shopify_US_7986043289787_46317339639995
fettercairn-10-year-old-carn-mor-strictly-limited-bourbon-cask-finish-single-malt-scotch-2011-whisky-70cl-47.5-abv,Fettercairn - 10 year old Carn Mor Strictly Limited Bourbon Cask Finish Single Malt Scotch 2011 Whisky 70cl 47.5% ABV,Bourbon,"bourbon, whiskey, single-malt",Fettercairn,TRUE,260.99,https://www.liquorstore-online.com/product_images/p_166087.webp,14907
